epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1278.19,1.00299,2.30804,1.47567,0.38347,0.50015,0.40461,0.24721,1.27194,1.70151,1.7779,0.000256207,0.000256207,0.000256207
2,2502.12,0.92394,1.54253,1.37882,0.53945,0.60217,0.60842,0.41984,1.07666,1.22319,1.57733,0.000411057,0.000411057,0.000411057
3,3512.83,0.8888,1.39558,1.35,0.57001,0.63963,0.65125,0.46365,1.05073,1.18226,1.53371,0.0004644,0.0004644,0.0004644
4,4489.62,0.84864,1.27872,1.31943,0.63348,0.69172,0.74139,0.54368,0.97124,1.02207,1.45333,0.000312214,0.000312214,0.000312214
5,5455.66,0.80128,1.16607,1.28461,0.69491,0.69195,0.76946,0.58031,0.93347,0.93324,1.40764,0.000159952,0.000159952,0.000159952
