epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,501.514,0.92967,0.69786,0.97388,0.72647,0.62111,0.68603,0.43157,1.20693,1.01993,1.02544,0.000540037,0.000540037,0.000540037
43,523.05,0.92849,0.68479,0.97899,0.75815,0.62902,0.67547,0.43128,1.17045,1.00575,1.01766,0.000531038,0.000531038,0.000531038
44,544.59,0.94332,0.69105,0.96785,0.77673,0.70952,0.72488,0.44912,1.20827,0.96885,1.0317,0.000522039,0.000522039,0.000522039
45,565.395,0.92552,0.69567,0.96924,0.69792,0.70254,0.70559,0.45557,1.16991,0.93059,1.03007,0.00051304,0.00051304,0.00051304
46,587.104,0.94084,0.70109,0.96644,0.68614,0.61358,0.6522,0.43706,1.21615,1.01924,1.02994,0.00050404,0.00050404,0.00050404
47,608.539,0.92802,0.70571,0.96871,0.69449,0.61116,0.66111,0.43117,1.20699,1.04879,1.04524,0.000495041,0.000495041,0.000495041
48,630.574,0.93932,0.69403,0.9722,0.70661,0.74784,0.74004,0.46296,1.20308,0.94376,1.03261,0.000486042,0.000486042,0.000486042
49,652.021,0.8982,0.6727,0.95386,0.76818,0.70867,0.71216,0.46384,1.17881,0.91474,1.02231,0.000477043,0.000477043,0.000477043
50,674.383,0.93823,0.65283,0.95873,0.70836,0.66765,0.6757,0.44195,1.15901,0.98027,1.01425,0.000468044,0.000468044,0.000468044
51,695.872,0.87936,0.66144,0.96585,0.75143,0.69012,0.73276,0.47299,1.15513,0.94444,1.02522,0.000459045,0.000459045,0.000459045
52,717.51,0.9125,0.65792,0.96501,0.73538,0.69597,0.71128,0.45812,1.20108,0.95495,1.03549,0.000450046,0.000450046,0.000450046
53,739.439,0.91905,0.66777,0.96342,0.76516,0.69902,0.72082,0.48099,1.16024,0.94753,1.02141,0.000441047,0.000441047,0.000441047
54,761.302,0.91379,0.67051,0.95559,0.77809,0.74242,0.74719,0.47815,1.16023,0.89445,1.02239,0.000432048,0.000432048,0.000432048
55,784.007,0.8655,0.63973,0.9459,0.69839,0.71631,0.70224,0.45849,1.17743,0.93762,1.02791,0.000423049,0.000423049,0.000423049
56,805.748,0.89895,0.67927,0.95415,0.73106,0.68618,0.72048,0.48177,1.14871,0.97204,1.01913,0.000414049,0.000414049,0.000414049
57,827.306,0.89503,0.66735,0.95351,0.72323,0.75166,0.73238,0.48118,1.11723,0.8934,1.00654,0.00040505,0.00040505,0.00040505
58,848.652,0.90446,0.67282,0.95372,0.64647,0.74482,0.69746,0.45869,1.11952,0.97658,1.00291,0.000396051,0.000396051,0.000396051
59,869.887,0.86051,0.62015,0.94396,0.65044,0.7129,0.68364,0.44905,1.15696,1.04388,1.01683,0.000387052,0.000387052,0.000387052
60,891.252,0.85,0.61606,0.94173,0.61282,0.69183,0.70808,0.46744,1.16561,0.96191,1.02157,0.000378053,0.000378053,0.000378053
61,912.532,0.85387,0.62495,0.94658,0.75611,0.64215,0.68761,0.43905,1.19475,1.02848,1.05014,0.000369054,0.000369054,0.000369054
62,934.267,0.86586,0.6281,0.93469,0.73609,0.69805,0.72951,0.47539,1.19559,0.93013,1.03899,0.000360055,0.000360055,0.000360055
63,955.502,0.83599,0.59651,0.93456,0.742,0.67798,0.72793,0.47652,1.1441,0.94785,1.01887,0.000351056,0.000351056,0.000351056
64,977.365,0.8642,0.60374,0.93809,0.68208,0.74766,0.69567,0.47378,1.16908,0.90741,1.01806,0.000342057,0.000342057,0.000342057
65,999.198,0.85312,0.59765,0.94001,0.76563,0.70605,0.74179,0.48941,1.13222,0.92703,1.02024,0.000333058,0.000333058,0.000333058
66,1020.72,0.85403,0.60303,0.93924,0.6848,0.69871,0.69842,0.44926,1.13794,0.94716,1.02233,0.000324058,0.000324058,0.000324058
67,1042.39,0.83388,0.59559,0.9362,0.69996,0.72897,0.70409,0.45864,1.12726,0.90077,1.02182,0.000315059,0.000315059,0.000315059
