epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1175,1.05979,3.00408,1.3807,0.01052,0.87503,0.21632,0.13095,1.15764,3.54941,1.5241,0.00029997,0.00029997,0.00029997
2,29.5119,1.12524,2.22207,1.40025,0.37623,0.3864,0.33115,0.2023,1.34321,3.041,1.78075,0.000605001,0.000605001,0.000605001
3,43.5726,1.13511,2.06415,1.41369,0.36104,0.28825,0.28313,0.16309,1.57906,2.87719,2.07669,0.000903872,0.000903872,0.000903872
4,57.716,1.16829,1.97573,1.42803,0.50973,0.30038,0.25855,0.14082,1.65603,3.02179,2.19775,0.001078,0.001078,0.001078
5,71.812,1.15935,1.95051,1.43753,0.34161,0.26269,0.13322,0.05321,2.02572,4.45794,2.98992,0.001067,0.001067,0.001067
6,86.0167,1.19648,1.91383,1.45915,0.22896,0.31276,0.20143,0.09559,1.75369,4.16459,2.27401,0.00105601,0.00105601,0.00105601
7,100.197,1.17611,1.82888,1.42885,0.28229,0.28313,0.2062,0.12408,1.66896,3.18195,2.35429,0.00104501,0.00104501,0.00104501
8,114.405,1.17443,1.78153,1.42383,0.38964,0.2842,0.29145,0.17393,1.62959,2.45488,1.89273,0.00103401,0.00103401,0.00103401
9,128.51,1.15728,1.68729,1.40101,0.47507,0.34855,0.29843,0.15624,1.80914,2.60133,2.1919,0.00102301,0.00102301,0.00102301
10,142.727,1.1171,1.57805,1.38481,0.31821,0.34215,0.24512,0.15104,1.6367,2.5068,1.92212,0.00101201,0.00101201,0.00101201
11,156.914,1.11899,1.53679,1.38511,0.58974,0.31378,0.32642,0.17855,1.6722,2.46446,1.99729,0.00100101,0.00100101,0.00100101
12,171.084,1.07746,1.4886,1.35527,0.37276,0.39657,0.30317,0.17519,1.55728,2.64574,1.96249,0.000990012,0.000990012,0.000990012
13,185.194,1.02678,1.4028,1.3299,0.57252,0.41986,0.4442,0.30866,1.3672,2.16443,1.70714,0.000979013,0.000979013,0.000979013
14,199.331,1.06247,1.40134,1.34442,0.51542,0.3466,0.34344,0.20397,1.52367,2.20116,1.78998,0.000968014,0.000968014,0.000968014
15,213.402,1.02692,1.34518,1.32694,0.59225,0.40289,0.40271,0.25863,1.40834,2.23697,1.74844,0.000957015,0.000957015,0.000957015
16,227.431,1.02586,1.33285,1.32007,0.65297,0.34248,0.41251,0.26941,1.3759,2.09645,1.72525,0.000946016,0.000946016,0.000946016
17,241.447,1.00877,1.25963,1.31789,0.47198,0.38245,0.36092,0.2381,1.43024,2.27659,1.76926,0.000935018,0.000935018,0.000935018
18,255.474,0.99902,1.24152,1.31834,0.58434,0.36778,0.38804,0.24029,1.65105,2.37782,2.07875,0.000924019,0.000924019,0.000924019
19,269.89,0.9441,1.18561,1.26002,0.40773,0.43175,0.39028,0.27123,1.34818,2.12131,1.69232,0.00091302,0.00091302,0.00091302
20,284.507,0.94922,1.1352,1.27684,0.59581,0.41849,0.41471,0.25936,1.42431,2.3414,1.76746,0.000902021,0.000902021,0.000902021
21,298.668,0.95306,1.15164,1.26489,0.43265,0.47382,0.40156,0.26446,1.42944,2.09492,1.71553,0.000891022,0.000891022,0.000891022
22,312.809,0.96166,1.12638,1.26834,0.59184,0.45732,0.50452,0.32037,1.39723,2.01266,1.68229,0.000880023,0.000880023,0.000880023
23,327.452,0.91579,1.10131,1.25962,0.48465,0.42021,0.43785,0.29108,1.39076,1.92696,1.67163,0.000869024,0.000869024,0.000869024
24,342.212,0.90055,1.05388,1.2481,0.58051,0.44396,0.49973,0.36319,1.27347,1.83503,1.61319,0.000858025,0.000858025,0.000858025
25,356.992,0.91026,1.0609,1.23704,0.50311,0.55223,0.48,0.33484,1.32346,1.95834,1.70185,0.000847026,0.000847026,0.000847026
26,371.768,0.89351,1.00988,1.23251,0.60433,0.41981,0.45899,0.28167,1.5127,2.09303,1.89281,0.000836027,0.000836027,0.000836027
27,386.515,0.88592,1.00229,1.23013,0.5372,0.44503,0.42596,0.26914,1.43131,2.12381,1.83008,0.000825029,0.000825029,0.000825029
28,401.219,0.88167,1.00023,1.21497,0.61562,0.42076,0.46629,0.302,1.40115,2.00455,1.69856,0.00081403,0.00081403,0.00081403
29,415.91,0.87484,0.97063,1.22908,0.51806,0.48182,0.45915,0.31999,1.34853,1.97073,1.68398,0.000803031,0.000803031,0.000803031
30,431.024,0.86515,0.9326,1.21177,0.59778,0.44463,0.48854,0.32192,1.3053,1.85318,1.62677,0.000792032,0.000792032,0.000792032
31,446.106,0.8624,0.93093,1.19857,0.55475,0.51831,0.50957,0.34415,1.33488,1.72554,1.66516,0.000781033,0.000781033,0.000781033
32,460.998,0.84249,0.91827,1.18749,0.62416,0.43209,0.45315,0.31745,1.33369,2.10654,1.68889,0.000770034,0.000770034,0.000770034
33,475.896,0.82368,0.86967,1.17792,0.58005,0.48578,0.50934,0.34808,1.29391,1.92535,1.65637,0.000759035,0.000759035,0.000759035
34,491.104,0.85383,0.87051,1.19692,0.50571,0.49825,0.47545,0.32269,1.30718,1.94701,1.64798,0.000748036,0.000748036,0.000748036
35,506.305,0.80741,0.84653,1.17906,0.60347,0.50856,0.54057,0.38794,1.24,1.68265,1.60851,0.000737037,0.000737037,0.000737037
36,521.127,0.81409,0.85863,1.18028,0.63103,0.49377,0.5408,0.38559,1.23722,1.81904,1.60068,0.000726038,0.000726038,0.000726038
37,536.522,0.78105,0.81145,1.15723,0.56446,0.51758,0.5617,0.39874,1.24056,1.65476,1.60863,0.00071504,0.00071504,0.00071504
38,551.236,0.7791,0.8314,1.15573,0.49586,0.53382,0.46605,0.31302,1.37719,1.90902,1.72217,0.000704041,0.000704041,0.000704041
39,565.948,0.77174,0.79628,1.15037,0.67527,0.40522,0.44479,0.31007,1.31504,1.85866,1.66587,0.000693042,0.000693042,0.000693042
40,580.808,0.78293,0.79557,1.15038,0.60177,0.509,0.55173,0.38488,1.30252,1.79316,1.6361,0.000682043,0.000682043,0.000682043
41,595.711,0.7795,0.77534,1.14771,0.59158,0.54493,0.54656,0.37446,1.31365,1.68311,1.68696,0.000671044,0.000671044,0.000671044
42,610.485,0.74011,0.75559,1.12091,0.61232,0.4543,0.50692,0.3562,1.30721,1.85549,1.68544,0.000660045,0.000660045,0.000660045
43,625.35,0.766,0.75148,1.13937,0.53064,0.53063,0.49994,0.35654,1.28177,1.69152,1.64458,0.000649046,0.000649046,0.000649046
44,640.161,0.73458,0.73335,1.12849,0.59,0.49616,0.50302,0.35133,1.2696,1.78654,1.62222,0.000638047,0.000638047,0.000638047
45,654.98,0.74123,0.73982,1.13254,0.71356,0.542,0.57154,0.41727,1.21013,1.5938,1.56996,0.000627048,0.000627048,0.000627048
46,669.751,0.74301,0.73697,1.12884,0.6602,0.48256,0.54932,0.38848,1.22015,1.70389,1.56613,0.000616049,0.000616049,0.000616049
47,689.392,0.70953,0.70767,1.10433,0.60936,0.49928,0.52175,0.36713,1.23951,1.64495,1.59638,0.000605051,0.000605051,0.000605051
48,726.522,0.71646,0.70964,1.11502,0.66949,0.53893,0.55166,0.39592,1.21232,1.66302,1.5665,0.000594052,0.000594052,0.000594052
49,761.855,0.71279,0.67284,1.106,0.57973,0.53868,0.52957,0.39374,1.25356,1.71028,1.64992,0.000583053,0.000583053,0.000583053
50,797.786,0.72048,0.70228,1.10504,0.6424,0.52969,0.53205,0.36087,1.25513,1.82578,1.6393,0.000572054,0.000572054,0.000572054
51,834.072,0.71693,0.67551,1.1061,0.62898,0.52012,0.51624,0.37752,1.20662,1.64708,1.59124,0.000561055,0.000561055,0.000561055
52,869.61,0.70489,0.67159,1.09934,0.50703,0.49025,0.4905,0.34948,1.2551,1.86968,1.64441,0.000550056,0.000550056,0.000550056
53,905.073,0.69502,0.64791,1.09067,0.62619,0.52476,0.52434,0.38139,1.20548,1.81701,1.58731,0.000539057,0.000539057,0.000539057
54,939.488,0.67053,0.63853,1.0642,0.61243,0.47819,0.50184,0.36971,1.25893,1.7352,1.63211,0.000528058,0.000528058,0.000528058
55,973.563,0.67303,0.63443,1.08491,0.70604,0.50654,0.54835,0.3894,1.30227,1.74298,1.67562,0.000517059,0.000517059,0.000517059
56,1007.77,0.66254,0.63392,1.07432,0.6142,0.50334,0.52782,0.38284,1.26535,1.80788,1.63818,0.00050606,0.00050606,0.00050606
57,1041.59,0.67097,0.62533,1.07624,0.58888,0.49383,0.54558,0.3991,1.22389,1.86186,1.6044,0.000495062,0.000495062,0.000495062
58,1074.9,0.64225,0.60778,1.07544,0.56896,0.51803,0.50478,0.35524,1.30238,1.69604,1.65489,0.000484063,0.000484063,0.000484063
59,1109.7,0.64914,0.62005,1.08046,0.63516,0.47871,0.49404,0.35888,1.25873,1.68517,1.60578,0.000473064,0.000473064,0.000473064
60,1144.96,0.64923,0.59862,1.06874,0.53579,0.54935,0.50977,0.38204,1.25026,1.68551,1.61941,0.000462065,0.000462065,0.000462065
61,1182.47,0.62748,0.5791,1.06334,0.58118,0.49183,0.48666,0.34844,1.27179,1.82858,1.6812,0.000451066,0.000451066,0.000451066
62,1218.77,0.63088,0.60869,1.06149,0.55506,0.56608,0.53581,0.386,1.24859,1.81806,1.61229,0.000440067,0.000440067,0.000440067
63,1254.55,0.62054,0.57629,1.0493,0.60383,0.47891,0.50179,0.37201,1.20418,1.84911,1.5751,0.000429068,0.000429068,0.000429068
64,1290.62,0.61058,0.5798,1.05744,0.65359,0.45313,0.51016,0.37206,1.22219,1.68984,1.60568,0.000418069,0.000418069,0.000418069
65,1325.39,0.63168,0.5849,1.05293,0.64468,0.4915,0.52346,0.38611,1.25081,1.81235,1.60676,0.00040707,0.00040707,0.00040707
66,1348.41,0.61072,0.57761,1.05412,0.61006,0.49539,0.55387,0.40719,1.22239,1.75851,1.5851,0.000396071,0.000396071,0.000396071
67,1363.64,0.6126,0.57933,1.05391,0.54804,0.51301,0.53082,0.39313,1.25965,1.80011,1.62998,0.000385073,0.000385073,0.000385073
68,1385.29,0.59069,0.54657,1.03623,0.55255,0.50275,0.51587,0.37829,1.2449,1.8001,1.61758,0.000374074,0.000374074,0.000374074
69,1422.41,0.58603,0.54391,1.03449,0.57495,0.561,0.53574,0.37443,1.23912,1.88426,1.60771,0.000363075,0.000363075,0.000363075
70,1457.65,0.59294,0.56642,1.04236,0.58647,0.50331,0.51758,0.37707,1.25223,1.72667,1.64656,0.000352076,0.000352076,0.000352076
71,1493.05,0.59696,0.5347,1.03007,0.57243,0.51739,0.53509,0.39265,1.2309,1.74739,1.61545,0.000341077,0.000341077,0.000341077
72,1528.77,0.58308,0.542,1.02538,0.50361,0.5664,0.52604,0.38692,1.24087,1.70596,1.62248,0.000330078,0.000330078,0.000330078
73,1561.87,0.57692,0.53095,1.03797,0.66212,0.51117,0.55108,0.39397,1.25658,1.72968,1.60522,0.000319079,0.000319079,0.000319079
74,1576.51,0.55999,0.52717,1.02369,0.63617,0.49777,0.53292,0.39007,1.26044,1.73977,1.66405,0.00030808,0.00030808,0.00030808
75,1591.59,0.55579,0.49842,1.01192,0.64295,0.53326,0.5481,0.40263,1.26719,1.69137,1.69188,0.000297081,0.000297081,0.000297081
76,1607.42,0.55423,0.5014,1.01502,0.61896,0.55917,0.56149,0.40884,1.2223,1.68317,1.62821,0.000286083,0.000286083,0.000286083
77,1635.57,0.53713,0.50571,1.01207,0.54725,0.57803,0.55192,0.41195,1.22322,1.68437,1.63175,0.000275084,0.000275084,0.000275084
78,1660.17,0.55457,0.49169,1.017,0.51605,0.59735,0.53911,0.39905,1.21615,1.75337,1.59479,0.000264085,0.000264085,0.000264085
79,1689.72,0.54843,0.49937,1.02259,0.57661,0.51124,0.5075,0.37865,1.23305,1.84967,1.62716,0.000253086,0.000253086,0.000253086
80,1710.79,0.5268,0.48153,1.00031,0.56529,0.5604,0.5447,0.39734,1.2206,1.82006,1.61615,0.000242087,0.000242087,0.000242087
81,1745.67,0.52061,0.47879,1.0047,0.63473,0.55369,0.55325,0.3977,1.24335,1.79117,1.62132,0.000231088,0.000231088,0.000231088
82,1780.57,0.53597,0.48584,1.00222,0.63738,0.58557,0.56157,0.40902,1.22836,1.76091,1.63009,0.000220089,0.000220089,0.000220089
83,1815.02,0.52848,0.48391,1.00367,0.61611,0.52696,0.5579,0.40727,1.23634,1.79352,1.6275,0.00020909,0.00020909,0.00020909
84,1849.3,0.51908,0.47,1.0104,0.64594,0.54845,0.57513,0.43101,1.21825,1.83077,1.63047,0.000198091,0.000198091,0.000198091
85,1870.78,0.52943,0.47336,1.00428,0.6975,0.50529,0.56739,0.41385,1.20014,1.71868,1.59725,0.000187092,0.000187092,0.000187092
86,1906.43,0.50281,0.45172,0.9917,0.6021,0.56839,0.57495,0.41795,1.17799,1.7287,1.59894,0.000176094,0.000176094,0.000176094
87,1941.7,0.50206,0.46463,0.98403,0.6312,0.55177,0.58176,0.42551,1.1469,1.79354,1.56589,0.000165095,0.000165095,0.000165095
88,1959,0.51888,0.46866,0.98804,0.59943,0.54474,0.54957,0.4075,1.19019,1.8299,1.58581,0.000154096,0.000154096,0.000154096
89,1973.22,0.50288,0.44066,0.99298,0.68294,0.49937,0.55505,0.40972,1.18278,1.75221,1.5824,0.000143097,0.000143097,0.000143097
90,1987.48,0.51181,0.45402,0.99131,0.72033,0.53684,0.58209,0.42786,1.18245,1.705,1.5854,0.000132098,0.000132098,0.000132098
91,2000.95,0.44563,0.38374,0.93686,0.63819,0.57955,0.5799,0.42004,1.23031,1.78978,1.6464,0.000121099,0.000121099,0.000121099
92,2014.25,0.43285,0.36025,0.94341,0.67355,0.56798,0.57618,0.42465,1.16592,1.68521,1.58717,0.0001101,0.0001101,0.0001101
93,2027.64,0.42911,0.34947,0.93017,0.6094,0.53247,0.56114,0.41736,1.15041,1.76493,1.57873,9.91012e-05,9.91012e-05,9.91012e-05
94,2040.96,0.40657,0.3364,0.92945,0.62303,0.54882,0.56902,0.42303,1.16851,1.76209,1.60103,8.81023e-05,8.81023e-05,8.81023e-05
95,2054.21,0.40354,0.32695,0.91974,0.62635,0.59889,0.578,0.43242,1.17513,1.78047,1.59904,7.71034e-05,7.71034e-05,7.71034e-05
96,2067.95,0.40252,0.32583,0.90766,0.6218,0.58896,0.56333,0.41846,1.16727,1.79817,1.59486,6.61045e-05,6.61045e-05,6.61045e-05
97,2081.44,0.38677,0.31918,0.90659,0.6219,0.5896,0.56369,0.41947,1.17021,1.74234,1.61218,5.51056e-05,5.51056e-05,5.51056e-05
98,2094.83,0.38359,0.31558,0.90494,0.63997,0.58653,0.57221,0.42182,1.17791,1.76654,1.61855,4.41067e-05,4.41067e-05,4.41067e-05
99,2108.24,0.38837,0.31151,0.90954,0.67753,0.57096,0.57912,0.42955,1.175,1.77734,1.61795,3.31078e-05,3.31078e-05,3.31078e-05
100,2121.56,0.37846,0.31215,0.90342,0.63699,0.5895,0.57468,0.43266,1.17522,1.77644,1.62261,2.21089e-05,2.21089e-05,2.21089e-05
